Frequencies	Placenames	Coordinates
240	Helsingfors	60.173324, 24.941025
92	Tammerfors	61.498151, 23.761025
75	Finland	60.173324, 24.941025
46	Berlin	52.520007, 13.404954
39	Viborg	60.713953, 28.757157
31	Björkboda	60.091132, 22.560808
27	Stockholm	59.329323, 18.068581
26	Uleåborg	65.012615, 25.471453
22	Paris	48.856614, 2.352222
18	Tyskland	52.520007, 13.404954
16	Wien	48.208174, 16.373819
12	Åbo	60.451813, 22.26663
20	Sverige	59.329323, 18.068581
11	Ryssland	55.755826, 37.6173
11	Norge	59.913869, 10.752245
10	Karhula	60.466623, 26.946
10	England	51.507351, -0.127758
9	Stuttgart	48.775846, 9.182932
9	Norrköping	58.587745, 16.192421
9	London	51.507351, -0.127758
7	Köpenhamn	55.676097, 12.568337
7	Hamburg	53.551085, 9.993682
6	Vasa	63.095141, 21.616513
6	Högfors	60.535062, 24.20929
6	Helsinki	60.173324, 24.941025
5	Newcastle	54.978252, -1.61778
5	Kristiania	59.913869, 10.752245
5	Fredrikshamn	60.569203, 27.193846
5	Ekenäs	59.974437, 23.435507
5	Bredstedt	54.619601, 8.965738
5	Björneborg	61.485200, 21.797444
5	Amsterdam	52.370216, 4.895168
4	NewYork	40.712784, -74.005941
4	Karis	60.071390, 23.661911
4	Jakobstad	63.674244, 22.712569
4	Italien	41.902783, 12.496366
4	Hfors	60.173324, 24.941025
4	Gothersgade	55.686113, 12.569676
4	Frankfurt 50.110922, 8.682127
4	Charlottenburg	52.516667, 13.300000
4	Bremen	53.079296, 8.801694
4	Borgå	60.392837, 25.664568
3	Vanda	60.293366, 25.037733
3	Strömmen	59.949356, 11.002350
3	Lund	55.704660, 13.191007
3	Köln	50.937531, 6.960279
3	Kouvola	60.867886, 26.704130
3	Kolningen	60.484304, 15.433969
3	Imatra	61.170455, 28.772067
3	Hyvinge	60.631811, 24.857883
3	Hannover	52.375892, 9.732010
3	Hangö	59.828346, 22.965856
3	Glasgow	55.864237, -4.251806
3	Friedrichstrasse	47.556885, 7.945033
3	Frankrike	48.856614, 2.352222
